Unix Time [GMT], T [C @ 5m], T [C @ 35m], T [C @ 60m]
1477519200000,18.397,12.823,11.594
1477522800000,18.765,12.799,11.668
1477526400000,19.015,12.873,11.807
1477530000000,18.979,12.963,11.868
1477533600000,18.896,13.263,11.960
1477537200000,18.900,13.262,12.091
1477540800000,18.777,13.204,12.021
1477544400000,18.683,13.561,11.559
1477548000000,17.126,14.940,11.918
1477551600000,18.449,14.618,11.970
1477555200000,18.459,13.242,11.803
1477558800000,18.374,13.242,12.022
1477562400000,18.329,13.174,11.739
1477566000000,18.285,12.859,11.291
1477569600000,18.339,12.909,11.057
1477573200000,18.378,12.838,11.056
1477576800000,18.541,12.890,11.291
1477580400000,18.700,13.250,11.359
1477584000000,18.865,13.394,11.444
1477587600000,18.668,12.676,11.413
1477591200000,17.846,15.203,11.407
1477594800000,19.053,14.017,11.682
1477598400000,18.775,13.419,11.597
1477602000000,18.807,13.283,11.845
1477605600000,17.277,13.382,11.694
1477609200000,18.699,13.507,11.818
1477612800000,19.091,13.543,11.713
1477616400000,19.040,13.090,11.716
1477620000000,19.038,13.308,11.920
1477623600000,18.855,13.226,11.901
1477627200000,18.515,13.238,11.948
1477630800000,18.406,13.582,12.020
1477634400000,18.345,13.709,12.071
1477638000000,18.387,13.215,12.067
1477641600000,18.405,13.148,12.068
1477645200000,18.303,13.150,11.733
1477648800000,18.195,13.141,11.521
1477652400000,18.071,12.890,11.536
1477656000000,18.076,12.868,11.512
1477659600000,18.091,13.241,11.401
1477663200000,18.081,13.216,11.331
1477666800000,18.160,13.687,11.760
1477670400000,18.353,12.929,11.888
1477674000000,18.486,12.706,11.889
1477677600000,18.556,12.963,12.010
1477681200000,18.723,13.231,12.254
1477684800000,18.823,13.370,12.305
1477688400000,18.531,13.448,12.301
1477692000000,18.147,13.405,12.316
1477695600000,18.020,13.191,12.306
1477699200000,18.126,13.320,12.373
1477702800000,18.309,13.229,12.294
1477706400000,18.200,13.237,12.255
1477710000000,18.107,12.994,11.537
1477713600000,18.131,13.086,12.222
1477717200000,18.107,13.269,11.852
1477720800000,18.040,13.270,11.831
1477724400000,17.914,13.358,11.844
1477728000000,17.876,13.524,12.620
1477731600000,17.789,13.453,11.825
1477735200000,17.633,13.537,11.601
1477738800000,17.517,13.304,11.566
1477742400000,17.423,13.488,11.402
1477746000000,17.437,13.468,11.373
1477749600000,17.285,13.550,11.272
1477753200000,17.676,13.421,11.408
1477756800000,17.849,13.556,11.325
1477760400000,15.885,14.073,11.495
1477764000000,18.683,14.643,11.642
1477767600000,18.821,14.105,11.682
1477771200000,18.940,13.704,11.860
1477774800000,18.516,13.679,11.874
1477778400000,18.675,13.584,11.799
1477782000000,18.327,13.611,11.820
1477785600000,17.916,13.678,11.806
1477789200000,17.541,13.618,11.785
1477792800000,16.853,13.638,11.542
1477796400000,17.199,13.617,11.475
1477800000000,17.477,13.478,11.205
1477803600000,17.368,13.620,11.248
1477807200000,17.190,13.158,11.833
1477810800000,17.272,13.989,12.077
1477814400000,17.253,13.757,12.007
1477818000000,17.407,13.468,12.006
1477821600000,17.475,13.195,12.048
1477825200000,17.465,13.387,12.013
1477828800000,17.242,13.338,11.879
1477832400000,17.095,13.276,11.694
1477836000000,17.029,13.190,11.633
1477839600000,16.900,13.356,11.595
1477843200000,16.867,13.388,11.622
1477846800000,16.921,13.397,11.670
1477850400000,17.691,13.436,11.477
1477854000000,17.962,13.596,11.899
1477857600000,18.338,13.903,11.960
1477861200000,18.187,13.140,11.948
1477864800000,17.613,12.957,11.775
1477868400000,17.265,13.578,11.871
1477872000000,17.302,13.123,11.877
1477875600000,17.384,13.099,11.764
1477879200000,17.437,13.031,11.650
1477882800000,17.125,13.046,11.589
1477886400000,16.994,13.067,11.554
1477890000000,17.852,12.957,11.579
1477893600000,17.990,13.531,11.535
1477897200000,17.965,12.957,11.632
1477900800000,18.721,13.311,11.820
1477904400000,18.561,13.171,11.972
1477908000000,18.404,13.325,11.980
1477911600000,17.666,13.448,11.928
1477915200000,17.918,13.409,11.788
1477918800000,17.156,13.233,11.805
1477922400000,16.896,13.001,11.658
1477926000000,16.974,12.457,11.600
1477929600000,16.884,12.705,11.612
1477933200000,16.847,13.002,11.591
1477936800000,17.492,13.135,11.679
1477940400000,17.990,13.008,11.814
1477944000000,18.279,13.494,11.968
1477947600000,18.084,13.451,12.031
1477951200000,17.992,13.310,11.959
1477954800000,17.880,13.620,12.044
1477958400000,17.704,13.588,12.107
1477962000000,18.852,13.581,12.095
1477965600000,18.966,12.960,11.779
1477969200000,18.967,12.815,11.745
1477972800000,19.009,12.745,11.554
1477976400000,18.936,12.982,11.649
1477980000000,18.956,13.068,11.648
1477983600000,18.811,13.452,11.724
1477987200000,18.413,12.991,11.863
1477990800000,17.622,13.022,11.894
1477994400000,17.802,13.360,12.042
1477998000000,17.703,13.209,12.123
1478001600000,17.431,12.939,12.098
1478005200000,17.417,13.517,12.086
1478008800000,17.379,13.680,12.020
1478012400000,17.426,12.845,11.835
1478016000000,17.469,13.020,11.568
1478019600000,17.509,13.153,11.780
1478023200000,17.679,13.580,11.744
1478026800000,18.222,13.585,11.857
1478030400000,18.064,13.583,12.137
1478034000000,18.353,13.715,12.295
1478037600000,18.821,13.597,12.500
1478041200000,18.510,14.185,12.668
1478044800000,18.804,13.989,12.557
1478048400000,18.741,13.492,12.215
1478052000000,18.540,13.581,11.695
1478055600000,18.578,13.819,11.588
1478059200000,18.515,13.680,11.717
1478062800000,18.506,13.458,11.508
1478066400000,18.393,13.463,11.784
1478070000000,18.147,13.506,11.878
1478073600000,17.993,13.504,12.052
1478077200000,17.925,13.724,12.017
1478080800000,18.038,13.573,11.989
1478084400000,17.927,13.727,12.204
1478088000000,17.526,13.763,12.113
1478091600000,17.632,13.558,12.090
1478095200000,17.395,13.618,11.827
1478098800000,17.513,13.531,11.773
1478102400000,17.453,13.757,11.735
1478106000000,17.432,13.661,11.547
1478109600000,17.390,13.929,11.515
1478113200000,17.318,13.791,11.771
1478116800000,17.516,14.216,12.203
1478120400000,17.671,14.271,12.170
1478124000000,17.762,13.912,11.858
1478127600000,17.960,13.919,12.164
1478131200000,18.029,14.048,12.295
1478134800000,17.988,13.676,11.934
1478138400000,17.998,13.767,11.874
1478142000000,17.930,13.273,11.639
1478145600000,17.878,13.042,11.580
1478149200000,17.829,13.692,11.627
1478152800000,17.714,13.601,11.712
1478156400000,17.544,13.530,11.951
1478160000000,17.508,13.657,11.958
1478163600000,17.406,13.289,12.006
1478167200000,17.331,13.521,12.067
1478170800000,17.250,13.770,12.058
1478174400000,17.214,13.512,12.047
1478178000000,17.114,13.199,11.831
1478181600000,17.077,13.457,11.438
1478185200000,17.070,13.931,12.027
1478188800000,17.087,14.027,11.924
1478192400000,17.118,13.905,11.973
1478196000000,17.080,14.318,11.805
1478199600000,17.071,14.273,12.231
1478203200000,17.107,14.390,12.289
1478206800000,17.173,14.246,12.277
1478210400000,17.201,13.912,12.252
1478214000000,17.342,13.521,11.671
1478217600000,17.448,13.846,11.821
1478221200000,17.534,14.218,12.466
1478224800000,17.662,14.264,11.588
1478228400000,18.195,13.472,11.416
1478232000000,17.876,12.880,11.578
1478235600000,17.647,12.497,11.465
1478239200000,17.617,12.834,11.820
1478242800000,17.673,13.624,12.012
1478246400000,17.869,13.900,12.117
1478250000000,17.315,13.738,11.694
1478253600000,17.080,13.398,11.727
1478257200000,16.998,13.160,11.789
1478260800000,16.956,13.463,11.751
1478264400000,16.897,14.058,11.688
1478268000000,16.803,13.529,11.710
1478271600000,16.895,13.340,11.638
1478275200000,16.986,14.379,11.653
1478278800000,17.214,13.717,11.570
1478282400000,17.364,13.478,11.695
1478286000000,17.414,13.860,11.856
1478289600000,17.756,13.311,11.855
1478293200000,17.825,13.916,12.124
1478296800000,17.791,14.200,12.073
1478300400000,18.005,13.636,11.973
1478304000000,18.012,13.690,11.814
1478307600000,18.049,14.184,11.617
1478311200000,17.971,14.201,11.851
1478314800000,17.860,13.086,11.386
1478318400000,17.695,13.172,11.322
1478322000000,18.022,13.334,11.483
1478325600000,17.685,14.488,11.498
1478329200000,17.638,13.819,11.580
1478332800000,17.219,12.827,11.564
1478336400000,17.035,12.812,11.728
1478340000000,17.223,13.088,11.738
1478343600000,17.059,14.007,11.628
1478347200000,17.286,13.426,11.508
1478350800000,17.259,13.561,11.590
1478354400000,17.339,13.411,11.711
1478358000000,17.205,13.362,11.265
1478361600000,18.462,14.007,11.690
1478365200000,18.347,13.950,11.338
1478368800000,18.100,13.444,11.523
1478372400000,17.968,13.716,11.436
1478376000000,18.166,13.564,11.753
1478379600000,17.909,13.707,11.733
1478383200000,18.217,14.502,11.950
1478386800000,17.651,13.666,11.622
1478390400000,17.502,14.550,12.129
1478394000000,17.799,13.740,11.550
1478397600000,18.196,13.672,11.902
1478401200000,17.682,13.539,11.682
1478404800000,17.519,13.428,11.938
1478408400000,18.068,13.724,11.232
1478412000000,17.376,13.668,11.162
1478415600000,17.436,13.689,11.305
1478419200000,17.956,13.707,11.689
1478422800000,17.773,13.485,11.479
1478426400000,18.214,13.470,11.830
1478430000000,18.307,13.002,11.385
1478433600000,17.940,12.970,11.291
1478437200000,17.815,13.302,11.783
1478440800000,17.444,13.425,11.972
1478444400000,17.771,13.382,11.481
1478448000000,17.578,13.508,11.738
1478451600000,17.777,13.891,11.759
1478455200000,17.606,13.653,11.373
1478458800000,17.811,13.592,11.331
1478462400000,17.856,13.645,11.400
1478466000000,17.797,13.423,11.326
1478469600000,17.536,13.485,11.645
1478473200000,17.625,13.220,11.518
1478476800000,18.042,13.814,11.721
1478480400000,17.659,13.798,11.840
1478484000000,17.372,13.634,11.744
1478487600000,17.219,13.784,11.735
1478491200000,17.009,13.694,11.733
1478494800000,17.284,13.875,11.609
1478498400000,17.573,13.827,11.646
1478502000000,16.890,13.839,11.469
1478505600000,17.169,13.833,11.492
