Time,temperature1,temperature2,temperature3
1498680000000,,,
1498680151000,18.756,11.211,10.215
1498683751000,18.228,11.185,10.172
1498687351000,17.929,11.451,10.216
1498690951000,18.262,11.593,10.198
1498694551000,18.384,11.61,10.191
1498698151000,18.094,11.7,10.149
1498701751000,18.446,11.641,10.119
1498705351000,18.212,11.848,10.104
1498708951000,18.642,11.818,10.177
1498712551000,17.936,11.669,10.334
1498716151000,17.678,11.728,10.177
1498719751000,17.767,11.55,10.276
1498723351000,17.483,11.74,10.36
1498726951000,17.498,11.43,10.471
1498730551000,17.756,11.676,10.623
1498734151000,17.764,11.507,10.512
1498737751000,16.998,11.616,10.411
1498741351000,16.823,11.882,10.143
1498744951000,16.526,11.918,10.176
1498748551000,17.492,11.708,10.142
1498752151000,16.96,11.544,10.155
1498755751000,17.949,11.833,10.17
1498759351000,18.149,12.144,10.316
1498762951000,18.153,11.659,10.367
1498766551000,18.296,11.936,10.512
1498770151000,18.527,11.508,10.585
1498773751000,18.524,11.596,10.517
1498777351000,18.759,12.085,10.216
1498780951000,18.625,11.608,10.214
1498784551000,18.655,11.7,10.152
1498788151000,18.87,12.0,10.204
1498791751000,18.737,12.242,10.222
1498795351000,18.561,12.138,10.287
1498798951000,18.463,12.243,10.543
1498802551000,18.333,12.3,10.405
1498806151000,18.255,12.246,10.445
1498809751000,17.844,11.552,10.501
1498813351000,18.041,11.692,10.585
1498816951000,17.971,12.134,10.541
1498820551000,18.31,12.368,10.614
1498824151000,18.382,12.27,10.414
1498827751000,17.769,11.825,10.428
1498831351000,16.598,11.67,10.521
1498834951000,17.018,11.655,10.493
1498838551000,17.282,11.686,10.54
1498842151000,17.699,11.832,10.555
1498845751000,17.066,11.998,10.65
1498849351000,18.269,11.812,10.566
1498852951000,18.477,11.628,10.522
1498856551000,18.661,11.61,10.589
1498860151000,18.715,11.592,10.487
1498863751000,18.754,11.611,10.449
1498867351000,18.817,11.668,10.443
1498870951000,18.78,12.007,10.587
1498874551000,19.046,12.008,10.838
1498878151000,18.967,11.987,10.735
1498881751000,18.933,11.724,10.662
1498885351000,18.922,11.993,10.671
1498888951000,18.767,11.922,10.667
1498892551000,18.735,12.182,10.674
1498896151000,18.721,12.178,10.686
1498899751000,18.628,11.734,10.576
