Unix Time [GMT], T [C @ 5m], T [C @ 35m], T [C @ 60m]
1446055200000,22.528,17.306,15.053
1446058800000,22.571,17.859,15.447
1446062400000,22.606,NaN,15.201
1446066000000,22.596,17.667,14.812
1446069600000,22.608,17.684,14.745
1446073200000,22.504,16.581,14.829
1446076800000,22.280,16.769,14.801
1446080400000,22.295,17.642,15.158
1446084000000,22.372,16.231,15.215
1446087600000,22.323,17.572,14.959
1446091200000,22.326,17.960,14.914
1446094800000,22.354,17.906,14.897
1446098400000,22.375,18.282,15.165
1446102000000,22.396,18.639,15.520
1446105600000,22.378,17.556,14.924
1446109200000,22.306,17.436,14.917
1446112800000,22.192,16.274,14.623
1446116400000,22.148,16.616,14.749
1446120000000,22.107,NaN,14.692
1446123600000,22.058,16.746,14.868
1446127200000,22.043,16.361,14.762
1446130800000,21.972,15.505,14.462
1446134400000,21.955,15.903,14.749
1446138000000,NaN,16.841,14.924
1446141600000,22.032,17.696,15.193
1446145200000,22.077,17.250,15.502
1446148800000,22.142,17.587,15.148
1446152400000,22.150,17.703,15.068
1446156000000,22.129,17.765,14.962
1446159600000,22.030,16.650,15.056
1446163200000,21.924,16.246,14.692
1446166800000,21.819,17.259,14.692
1446170400000,21.728,17.050,14.337
1446174000000,21.624,16.715,14.874
1446177600000,21.498,16.837,15.464
1446181200000,21.313,16.861,15.063
1446184800000,21.071,16.904,15.197
1446188400000,21.033,16.652,15.861
1446192000000,20.998,16.493,14.794
1446195600000,21.004,16.148,14.630
1446199200000,20.965,16.138,14.403
1446202800000,20.934,16.262,14.203
1446206400000,20.872,16.344,14.057
1446210000000,20.851,16.919,14.262
1446213600000,20.825,16.353,14.812
1446217200000,20.797,17.490,14.966
1446220800000,20.787,18.067,15.330
1446224400000,20.804,18.036,15.357
1446228000000,20.799,17.408,14.956
1446231600000,20.849,17.800,14.621
1446235200000,20.852,17.689,14.398
1446238800000,21.003,17.088,14.202
1446242400000,21.180,17.272,14.082
1446246000000,21.164,17.606,14.360
1446249600000,21.193,17.117,14.297
1446253200000,21.104,17.177,14.739
1446256800000,21.014,17.110,14.786
1446260400000,20.967,17.330,14.913
1446264000000,20.869,17.331,15.008
1446267600000,20.757,17.477,15.126
1446271200000,20.677,17.230,14.859
1446274800000,20.681,17.419,15.124
1446278400000,20.706,17.091,15.060
1446282000000,20.623,17.197,15.109
1446285600000,NaN,17.236,15.173
1446289200000,20.631,17.287,15.167
1446292800000,20.657,17.306,15.069
1446296400000,20.637,17.731,15.109
1446300000000,20.607,17.065,15.038
1446303600000,20.641,17.051,15.378
1446307200000,20.597,18.254,15.398
1446310800000,20.516,18.455,15.559
1446314400000,20.447,17.726,15.276
1446318000000,20.261,16.780,15.190
1446321600000,20.723,16.986,15.233
1446325200000,20.877,17.462,14.870
1446328800000,20.848,17.587,15.241
1446332400000,20.863,17.875,15.138
1446336000000,20.771,17.419,15.079
1446339600000,20.758,17.594,14.924
1446343200000,20.717,17.716,14.897
1446346800000,20.863,17.899,15.388
1446350400000,21.067,17.695,15.409
1446354000000,20.926,17.028,15.517
1446357600000,20.954,17.090,15.390
1446361200000,21.006,17.029,15.336
1446364800000,21.052,17.208,15.605
1446368400000,21.057,17.241,15.640
1446372000000,20.921,16.756,15.006
1446375600000,20.851,16.796,15.201
1446379200000,20.820,16.842,14.749
1446382800000,20.845,16.761,15.200
1446386400000,20.896,16.762,15.001
1446390000000,20.707,16.929,15.022
1446393600000,20.958,17.666,15.417
1446397200000,20.892,17.872,15.440
1446400800000,21.023,17.392,15.342
1446404400000,20.405,16.842,15.436
1446408000000,20.781,17.265,15.454
1446411600000,20.868,17.308,15.528
1446415200000,20.951,17.766,15.528
1446418800000,20.925,17.829,15.289
1446422400000,20.943,17.793,15.335
1446426000000,20.820,17.189,15.299
1446429600000,20.931,17.432,14.895
1446433200000,20.922,16.715,14.911
1446436800000,20.929,16.582,14.985
1446440400000,20.991,17.129,14.996
1446444000000,21.065,17.068,15.043
1446447600000,21.102,16.931,15.151
1446451200000,21.169,16.309,15.304
1446454800000,21.271,16.870,15.322
1446458400000,21.434,17.227,15.752
1446462000000,21.630,16.910,15.626
1446465600000,21.725,16.923,15.575
1446469200000,21.681,16.849,15.667
1446472800000,21.545,17.217,15.372
1446476400000,21.537,17.445,15.269
1446480000000,21.567,17.281,15.255
1446483600000,21.614,18.050,15.535
1446487200000,21.653,17.815,15.660
1446490800000,21.696,17.164,15.163
1446494400000,21.560,17.220,15.121
1446498000000,21.775,17.719,15.241
1446501600000,21.688,17.750,15.847
1446505200000,21.693,17.597,15.960
1446508800000,21.642,17.642,15.069
1446512400000,21.523,17.238,15.616
1446516000000,21.419,17.029,15.719
1446519600000,21.310,16.876,15.665
1446523200000,21.153,17.224,15.716
1446526800000,21.003,17.758,15.714
1446530400000,20.956,17.428,15.639
1446534000000,20.929,16.920,15.508
1446537600000,20.858,16.990,15.311
1446541200000,20.782,16.877,14.717
1446544800000,20.715,16.520,14.580
1446548400000,20.639,16.800,14.975
1446552000000,20.612,17.339,15.519
1446555600000,20.555,16.308,15.118
1446559200000,20.407,16.380,15.207
1446562800000,20.338,16.322,15.233
1446566400000,20.291,16.692,NaN
1446570000000,20.205,16.656,15.339
1446573600000,20.260,16.844,15.330
1446577200000,20.268,16.797,15.331
1446580800000,20.287,16.904,15.457
1446584400000,20.321,16.474,15.337
1446588000000,NaN,16.426,15.347
1446591600000,20.251,16.462,15.363
1446595200000,20.173,17.196,15.802
1446598800000,20.132,17.103,15.760
1446602400000,20.142,16.823,15.759
1446606000000,NaN,16.468,15.840
1446609600000,NaN,NaN,NaN
1446613200000,NaN,NaN,NaN
1446616800000,19.684,16.639,15.336
1446620400000,19.589,16.544,15.190
1446624000000,19.528,16.743,15.352
1446627600000,19.462,18.012,15.404
1446631200000,19.385,17.135,14.843
1446634800000,19.270,16.493,14.711
1446638400000,19.205,16.232,14.745
1446642000000,19.264,16.190,15.227
1446645600000,19.520,16.349,15.431
1446649200000,19.518,17.040,15.577
1446652800000,19.267,16.995,15.635
1446656400000,19.208,17.015,15.562
1446660000000,19.195,16.954,15.557
1446663600000,19.311,16.904,15.515
1446667200000,19.377,16.655,15.508
1446670800000,19.299,17.125,15.720
1446674400000,19.244,17.208,15.348
1446678000000,19.095,16.971,15.656
1446681600000,19.014,16.967,15.248
1446685200000,19.110,16.615,15.426
1446688800000,19.096,16.856,15.699
1446692400000,19.091,16.825,14.896
1446696000000,19.012,16.676,15.683
1446699600000,18.905,16.609,15.579
1446703200000,18.790,16.728,15.823
1446706800000,18.783,16.667,15.275
1446710400000,18.814,16.675,15.305
1446714000000,18.901,NaN,15.389
1446717600000,18.963,16.175,15.243
1446721200000,19.029,16.472,15.178
1446724800000,19.336,16.635,15.210
1446728400000,19.480,16.602,15.309
1446732000000,19.582,16.508,15.541
1446735600000,19.636,16.846,15.722
1446739200000,19.677,17.170,15.945
1446742800000,19.730,16.506,15.831
1446746400000,19.785,16.416,15.143
1446750000000,19.846,17.034,15.855
1446753600000,19.841,17.143,16.123
1446757200000,19.869,17.496,15.770
1446760800000,19.996,17.370,15.679
1446764400000,20.028,16.615,15.425
1446768000000,NaN,16.626,15.201
1446771600000,NaN,16.830,15.190
1446775200000,19.913,17.087,16.152
1446778800000,19.831,16.686,16.081
1446782400000,19.765,16.655,15.973
1446786000000,19.691,16.633,15.951
1446789600000,19.651,16.519,15.321
1446793200000,19.738,16.635,15.807
1446796800000,19.807,16.708,15.857
1446800400000,19.756,16.965,15.829
1446804000000,19.611,16.905,15.363
1446807600000,19.568,16.788,15.076
